nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;19;4;0;115;99;0;27;6;26
12;19;4;0;115;99;0;27;6;26
13;19;4;0;115;99;0;27;6;26
14;19;4;0;115;99;0;27;6;26
15;19;4;0;115;99;0;27;6;26
16;19;4;0;115;99;0;27;6;26
17;19;4;0;115;99;0;27;6;26
18;19;4;0;115;99;0;27;6;26
19;19;4;0;115;99;0;27;6;26
21;48;2;0;99;89;0;18;11;40
22;48;2;0;99;89;0;18;11;40
23;48;2;0;99;89;0;18;11;40
24;48;2;0;99;89;0;18;11;40
25;48;2;0;99;89;0;18;11;40
26;48;2;0;99;89;0;18;11;40
27;48;2;0;99;89;0;18;11;40
28;48;2;0;99;89;0;18;11;40
29;48;2;0;99;89;0;18;11;40
31;39;6;0;111;128;0;16;14;49
32;39;6;0;111;128;0;16;14;49
33;39;6;0;111;128;0;16;14;49
34;39;6;0;111;128;0;16;14;49
35;39;6;0;111;128;0;16;14;49
36;39;6;0;111;128;0;16;14;49
37;39;6;0;111;128;0;16;14;49
38;39;6;0;111;128;0;16;14;49
39;39;6;0;111;128;0;16;14;49
41;74;5;0;98;14;0;21;9;45
42;74;5;0;98;14;0;21;9;45
43;74;5;0;98;14;0;21;9;45
44;74;5;0;98;14;0;21;9;45
45;74;5;0;98;14;0;21;9;45
46;74;5;0;98;14;0;21;9;45
47;74;5;0;98;14;0;21;9;45
48;74;5;0;98;14;0;21;9;45
49;74;5;0;98;14;0;21;9;45
51;103;3;0;84;11;0;11;13;31
52;103;3;0;84;11;0;11;13;31
53;103;3;0;84;11;0;11;13;31
54;103;3;0;84;11;0;11;13;31
55;103;3;0;84;11;0;11;13;31
56;103;3;0;84;11;0;11;13;31
57;103;3;0;84;11;0;11;13;31
58;103;3;0;84;11;0;11;13;31
59;103;3;0;84;11;0;11;13;31
61;142;1;0;61;14;0;14;6;22
62;142;1;0;61;14;0;14;6;22
63;142;1;0;61;14;0;14;6;22
64;142;1;0;61;14;0;14;6;22
65;142;1;0;61;14;0;14;6;22
66;142;1;0;61;14;0;14;6;22
67;142;1;0;61;14;0;14;6;22
68;142;1;0;61;14;0;14;6;22
69;142;1;0;61;14;0;14;6;22
71;228;3;0;45;11;0;7;8;11
72;228;3;0;45;11;0;7;8;11
73;228;3;0;45;11;0;7;8;11
74;228;3;0;45;11;0;7;8;11
75;228;3;0;45;11;0;7;8;11
76;228;3;0;45;11;0;7;8;11
77;228;3;0;45;11;0;7;8;11
78;228;3;0;45;11;0;7;8;11
79;228;3;0;45;11;0;7;8;11
81;275;6;0;43;3;0;13;9;11
82;275;6;0;43;3;0;13;9;11
83;275;6;0;43;3;0;13;9;11
84;275;6;0;43;3;0;13;9;11
