nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;23;4;0;109;77;0;16;5;32
12;23;4;0;109;77;0;16;5;32
13;23;4;0;109;77;0;16;5;32
14;23;4;0;109;77;0;16;5;32
15;23;4;0;109;77;0;16;5;32
16;23;4;0;109;77;0;16;5;32
17;23;4;0;109;77;0;16;5;32
18;23;4;0;109;77;0;16;5;32
19;23;4;0;109;77;0;16;5;32
21;33;0;0;76;70;0;27;6;45
22;33;0;0;76;70;0;27;6;45
23;33;0;0;76;70;0;27;6;45
24;33;0;0;76;70;0;27;6;45
25;33;0;0;76;70;0;27;6;45
26;33;0;0;76;70;0;27;6;45
27;33;0;0;76;70;0;27;6;45
28;33;0;0;76;70;0;27;6;45
29;33;0;0;76;70;0;27;6;45
31;55;1;0;136;107;0;34;4;33
32;55;1;0;136;107;0;34;4;33
33;55;1;0;136;107;0;34;4;33
34;55;1;0;136;107;0;34;4;33
35;55;1;0;136;107;0;34;4;33
36;55;1;0;136;107;0;34;4;33
37;55;1;0;136;107;0;34;4;33
38;55;1;0;136;107;0;34;4;33
39;55;1;0;136;107;0;34;4;33
41;70;4;0;153;0;0;34;1;35
42;70;4;0;153;0;0;34;1;35
43;70;4;0;153;0;0;34;1;35
44;70;4;0;153;0;0;34;1;35
45;70;4;0;153;0;0;34;1;35
46;70;4;0;153;0;0;34;1;35
47;70;4;0;153;0;0;34;1;35
48;70;4;0;153;0;0;34;1;35
49;70;4;0;153;0;0;34;1;35
51;88;1;0;156;0;0;29;5;39
52;88;1;0;156;0;0;29;5;39
53;88;1;0;156;0;0;29;5;39
54;88;1;0;156;0;0;29;5;39
55;88;1;0;156;0;0;29;5;39
56;88;1;0;156;0;0;29;5;39
57;88;1;0;156;0;0;29;5;39
58;88;1;0;156;0;0;29;5;39
59;88;1;0;156;0;0;29;5;39
61;93;5;0;144;0;0;35;9;24
62;93;5;0;144;0;0;35;9;24
63;93;5;0;144;0;0;35;9;24
64;93;5;0;144;0;0;35;9;24
65;93;5;0;144;0;0;35;9;24
66;93;5;0;144;0;0;35;9;24
67;93;5;0;144;0;0;35;9;24
68;93;5;0;144;0;0;35;9;24
69;93;5;0;144;0;0;35;9;24
71;96;4;0;140;0;0;46;3;22
72;96;4;0;140;0;0;46;3;22
73;96;4;0;140;0;0;46;3;22
74;96;4;0;140;0;0;46;3;22
75;96;4;0;140;0;0;46;3;22
76;96;4;0;140;0;0;46;3;22
77;96;4;0;140;0;0;46;3;22
78;96;4;0;140;0;0;46;3;22
79;96;4;0;140;0;0;46;3;22
81;151;5;0;109;0;0;34;7;13
82;151;5;0;109;0;0;34;7;13
83;151;5;0;109;0;0;34;7;13
84;151;5;0;109;0;0;34;7;13
