nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;23;4;0;108;117;0;35;0;19
12;23;4;0;108;117;0;35;0;19
13;23;4;0;108;117;0;35;0;19
14;23;4;0;108;117;0;35;0;19
15;23;4;0;108;117;0;35;0;19
16;23;4;0;108;117;0;35;0;19
17;23;4;0;108;117;0;35;0;19
18;23;4;0;108;117;0;35;0;19
19;23;4;0;108;117;0;35;0;19
21;22;1;0;86;121;0;17;6;38
22;22;1;0;86;121;0;17;6;38
23;22;1;0;86;121;0;17;6;38
24;22;1;0;86;121;0;17;6;38
25;22;1;0;86;121;0;17;6;38
26;22;1;0;86;121;0;17;6;38
27;22;1;0;86;121;0;17;6;38
28;22;1;0;86;121;0;17;6;38
29;22;1;0;86;121;0;17;6;38
31;40;2;0;94;128;0;15;9;56
32;40;2;0;94;128;0;15;9;56
33;40;2;0;94;128;0;15;9;56
34;40;2;0;94;128;0;15;9;56
35;40;2;0;94;128;0;15;9;56
36;40;2;0;94;128;0;15;9;56
37;40;2;0;94;128;0;15;9;56
38;40;2;0;94;128;0;15;9;56
39;40;2;0;94;128;0;15;9;56
41;55;2;0;90;16;0;17;14;35
42;55;2;0;90;16;0;17;14;35
43;55;2;0;90;16;0;17;14;35
44;55;2;0;90;16;0;17;14;35
45;55;2;0;90;16;0;17;14;35
46;55;2;0;90;16;0;17;14;35
47;55;2;0;90;16;0;17;14;35
48;55;2;0;90;16;0;17;14;35
49;55;2;0;90;16;0;17;14;35
51;79;2;0;83;9;0;11;9;21
52;79;2;0;83;9;0;11;9;21
53;79;2;0;83;9;0;11;9;21
54;79;2;0;83;9;0;11;9;21
55;79;2;0;83;9;0;11;9;21
56;79;2;0;83;9;0;11;9;21
57;79;2;0;83;9;0;11;9;21
58;79;2;0;83;9;0;11;9;21
59;79;2;0;83;9;0;11;9;21
61;151;1;0;61;9;0;11;9;11
62;151;1;0;61;9;0;11;9;11
63;151;1;0;61;9;0;11;9;11
64;151;1;0;61;9;0;11;9;11
65;151;1;0;61;9;0;11;9;11
66;151;1;0;61;9;0;11;9;11
67;151;1;0;61;9;0;11;9;11
68;151;1;0;61;9;0;11;9;11
69;151;1;0;61;9;0;11;9;11
71;200;2;0;60;4;0;13;6;11
72;200;2;0;60;4;0;13;6;11
73;200;2;0;60;4;0;13;6;11
74;200;2;0;60;4;0;13;6;11
75;200;2;0;60;4;0;13;6;11
76;200;2;0;60;4;0;13;6;11
77;200;2;0;60;4;0;13;6;11
78;200;2;0;60;4;0;13;6;11
79;200;2;0;60;4;0;13;6;11
81;261;1;0;53;2;0;7;5;10
82;261;1;0;53;2;0;7;5;10
83;261;1;0;53;2;0;7;5;10
84;261;1;0;53;2;0;7;5;10
