nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;30;2;0;94;118;0;27;5;27
12;30;2;0;94;118;0;27;5;27
13;30;2;0;94;118;0;27;5;27
14;30;2;0;94;118;0;27;5;27
15;30;2;0;94;118;0;27;5;27
16;30;2;0;94;118;0;27;5;27
17;30;2;0;94;118;0;27;5;27
18;30;2;0;94;118;0;27;5;27
19;30;2;0;94;118;0;27;5;27
21;35;4;0;91;99;0;18;12;43
22;35;4;0;91;99;0;18;12;43
23;35;4;0;91;99;0;18;12;43
24;35;4;0;91;99;0;18;12;43
25;35;4;0;91;99;0;18;12;43
26;35;4;0;91;99;0;18;12;43
27;35;4;0;91;99;0;18;12;43
28;35;4;0;91;99;0;18;12;43
29;35;4;0;91;99;0;18;12;43
31;41;4;0;76;133;0;23;13;48
32;41;4;0;76;133;0;23;13;48
33;41;4;0;76;133;0;23;13;48
34;41;4;0;76;133;0;23;13;48
35;41;4;0;76;133;0;23;13;48
36;41;4;0;76;133;0;23;13;48
37;41;4;0;76;133;0;23;13;48
38;41;4;0;76;133;0;23;13;48
39;41;4;0;76;133;0;23;13;48
41;72;2;0;73;10;0;25;5;8
42;72;2;0;73;10;0;25;5;8
43;72;2;0;73;10;0;25;5;8
44;72;2;0;73;10;0;25;5;8
45;72;2;0;73;10;0;25;5;8
46;72;2;0;73;10;0;25;5;8
47;72;2;0;73;10;0;25;5;8
48;72;2;0;73;10;0;25;5;8
49;72;2;0;73;10;0;25;5;8
51;116;4;0;56;11;0;25;8;1
52;116;4;0;56;11;0;25;8;1
53;116;4;0;56;11;0;25;8;1
54;116;4;0;56;11;0;25;8;1
55;116;4;0;56;11;0;25;8;1
56;116;4;0;56;11;0;25;8;1
57;116;4;0;56;11;0;25;8;1
58;116;4;0;56;11;0;25;8;1
59;116;4;0;56;11;0;25;8;1
61;168;3;0;56;7;0;13;5;5
62;168;3;0;56;7;0;13;5;5
63;168;3;0;56;7;0;13;5;5
64;168;3;0;56;7;0;13;5;5
65;168;3;0;56;7;0;13;5;5
66;168;3;0;56;7;0;13;5;5
67;168;3;0;56;7;0;13;5;5
68;168;3;0;56;7;0;13;5;5
69;168;3;0;56;7;0;13;5;5
71;221;3;0;51;6;0;17;10;2
72;221;3;0;51;6;0;17;10;2
73;221;3;0;51;6;0;17;10;2
74;221;3;0;51;6;0;17;10;2
75;221;3;0;51;6;0;17;10;2
76;221;3;0;51;6;0;17;10;2
77;221;3;0;51;6;0;17;10;2
78;221;3;0;51;6;0;17;10;2
79;221;3;0;51;6;0;17;10;2
81;275;4;0;46;2;0;15;4;2
82;275;4;0;46;2;0;15;4;2
83;275;4;0;46;2;0;15;4;2
84;275;4;0;46;2;0;15;4;2
