nb_tour;plancton;corail;bar;thon;pollution;pyranha;requin;orque;baleine
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0
11;21;8;0;124;104;0;13;10;30
12;21;8;0;124;104;0;13;10;30
13;21;8;0;124;104;0;13;10;30
14;21;8;0;124;104;0;13;10;30
15;21;8;0;124;104;0;13;10;30
16;21;8;0;124;104;0;13;10;30
17;21;8;0;124;104;0;13;10;30
18;21;8;0;124;104;0;13;10;30
19;21;8;0;124;104;0;13;10;30
21;39;2;0;82;99;0;28;10;28
22;39;2;0;82;99;0;28;10;28
23;39;2;0;82;99;0;28;10;28
24;39;2;0;82;99;0;28;10;28
25;39;2;0;82;99;0;28;10;28
26;39;2;0;82;99;0;28;10;28
27;39;2;0;82;99;0;28;10;28
28;39;2;0;82;99;0;28;10;28
29;39;2;0;82;99;0;28;10;28
31;35;1;0;85;112;0;21;12;64
32;35;1;0;85;112;0;21;12;64
33;35;1;0;85;112;0;21;12;64
34;35;1;0;85;112;0;21;12;64
35;35;1;0;85;112;0;21;12;64
36;35;1;0;85;112;0;21;12;64
37;35;1;0;85;112;0;21;12;64
38;35;1;0;85;112;0;21;12;64
39;35;1;0;85;112;0;21;12;64
41;58;3;0;89;10;0;19;11;44
42;58;3;0;89;10;0;19;11;44
43;58;3;0;89;10;0;19;11;44
44;58;3;0;89;10;0;19;11;44
45;58;3;0;89;10;0;19;11;44
46;58;3;0;89;10;0;19;11;44
47;58;3;0;89;10;0;19;11;44
48;58;3;0;89;10;0;19;11;44
49;58;3;0;89;10;0;19;11;44
51;101;2;0;76;10;0;15;8;35
52;101;2;0;76;10;0;15;8;35
53;101;2;0;76;10;0;15;8;35
54;101;2;0;76;10;0;15;8;35
55;101;2;0;76;10;0;15;8;35
56;101;2;0;76;10;0;15;8;35
57;101;2;0;76;10;0;15;8;35
58;101;2;0;76;10;0;15;8;35
59;101;2;0;76;10;0;15;8;35
61;130;2;0;58;10;0;13;2;23
62;130;2;0;58;10;0;13;2;23
63;130;2;0;58;10;0;13;2;23
64;130;2;0;58;10;0;13;2;23
65;130;2;0;58;10;0;13;2;23
66;130;2;0;58;10;0;13;2;23
67;130;2;0;58;10;0;13;2;23
68;130;2;0;58;10;0;13;2;23
69;130;2;0;58;10;0;13;2;23
71;186;1;0;59;6;0;9;5;12
72;186;1;0;59;6;0;9;5;12
73;186;1;0;59;6;0;9;5;12
74;186;1;0;59;6;0;9;5;12
75;186;1;0;59;6;0;9;5;12
76;186;1;0;59;6;0;9;5;12
77;186;1;0;59;6;0;9;5;12
78;186;1;0;59;6;0;9;5;12
79;186;1;0;59;6;0;9;5;12
81;220;1;0;54;7;0;4;2;9
82;220;1;0;54;7;0;4;2;9
83;220;1;0;54;7;0;4;2;9
84;220;1;0;54;7;0;4;2;9
